year,t_sum,ws_sum,t_col,ws_col
1979,-35.031569,38.715707,-28.562436,32.774382
1979,-36.331259,39.289115,-29.614663,36.057711
1979,-35.955454,37.758005,-29.275833,34.351396
1979,-36.843647,37.390077,-29.783236,34.446597
1979,-36.527529,39.563233,-29.873421,36.545087
1979,-38.211748,36.742666,-31.736269,32.815431
1979,-39.020057,33.495277,-31.915902,28.436337
1979,-38.276754,30.630163,-31.65379,25.536979
1979,-37.875467,38.262291,-31.239069,30.627073
1979,-37.311056,36.276848,-30.397087,32.905951
1979,-36.693424,29.28663,-29.60297,28.243833
1979,-35.498065,31.363828,-28.23249,27.041323
1979,-35.218371,25.293403,-28.941629,19.768304
1979,-36.980732,27.501587,-30.052716,25.284366
1979,-38.045826,26.04629,-31.760245,21.935082
1979,-38.818686,15.369576,-31.845674,14.804965
1979,-39.022003,12.718633,-31.875929,12.778072
1979,-40.629297,13.338689,-33.322157,11.999231
1979,-38.054114,26.601367,-32.163093,20.350184
1979,-34.237543,32.879254,-27.410301,26.561657
1979,-34.381895,21.730639,-27.271155,18.755756
1979,-33.510747,25.136236,-27.08013,23.759363
1979,-34.965965,27.251068,-28.144086,23.408439
1979,-35.184973,21.25233,-27.851038,20.33595
1979,-34.866405,22.404904,-27.294428,20.711564
1979,-34.527246,23.440846,-27.100801,20.689388
1979,-35.315696,24.407645,-28.799205,21.28719
1979,-35.162,19.117252,-28.248582,18.598754
1979,-35.976829,18.672812,-28.554395,18.315469
1979,-37.143307,25.873944,-29.573274,22.335496
1979,-37.228042,22.321052,-30.077585,20.996814
1979,-36.292927,16.945501,-29.09923,15.689538
1979,-36.233607,20.212915,-29.734362,17.186004
1979,-35.116736,29.852622,-29.587638,21.930741
1979,-34.954225,29.919333,-28.880878,20.841652
1979,-33.066707,31.20243,-27.508099,22.706856
1979,-31.14223,38.384604,-25.727761,26.412595
1979,-30.584756,37.883165,-25.043666,29.265932
1979,-29.167121,39.410217,-23.652699,29.593345
1979,-28.406669,37.814931,-22.691965,28.833323
1979,-28.244913,41.433997,-22.088137,32.358747
1979,-28.316003,42.024393,-22.500163,34.521775
1979,-26.911323,41.869774,-21.62204,35.180402
1979,-26.281958,44.474404,-20.855765,38.396127
1979,-26.514114,46.962336,-20.427405,41.369847
1979,-26.800983,44.310356,-20.619775,40.024897
1979,-27.477675,39.512643,-20.694121,37.09103
