elev,lat,lon,yrst,yrstp,notes
43,55.23,9.26,1973,2019,
7.3,54.96,9.79,1973,2019,
17.1,55.48,10.33,1973,2019,
6,55.02,10.56,1983,2019,
4,55.08,11.78,2012,2019,
3,54.88,12.18,1973,2019,
35.1,55.43,11.8,2019,2019,
44.5,55.59,12.13,1977,2019,
5.2,55.62,12.65,1929,2019,
15.8,55.06,14.76,1974,2019,
9,55.3,14.76,1931,2019,
25,55.05,15.1,2007,2019,
36,54.32,2.93,2008,2019,
24,52.37,3.35,2009,2019,
27,53.27,3.63,2007,2019,
33,55.42,3.81,2009,2019,
28,54.12,4.01,2007,2019,
30,53.62,4.96,2007,2019,
27,53.5,5.95,2007,2019,
34,53.82,2.95,2009,2019,
41,52.92,4.15,2008,2019,
0,53,4.71,1996,2019,
0.9,52.92,4.78,1973,2019,
0,54.85,4.73,1994,2019,
-3.4,52.31,4.76,1932,2019,
5,53.25,4.91,1973,2019,
2,53.4,5.35,1996,2019,
30,53.22,3.21,1996,2019,
10,52.5,4.6,2001,2019,
4,52.1,5.18,1931,2019,
3,52.9,5.38,1994,2019,
-4,52.46,5.52,1994,2019,
8,51.45,3.6,2004,2019,
0.9,53.23,5.76,1949,2019,
-3,52.7,5.88,1994,2019,
48.2,52.06,5.87,1949,2019,
0,53.42,6.2,1994,2019,
5,52.43,6.26,1994,2019,
16,52.73,6.57,1994,2019,
5.2,53.12,6.57,1931,2019,
29,52.07,6.65,1994,2019,
0,53.57,6.4,1996,2019,
0,53.2,7.15,1994,2019,
34.7,52.27,6.87,1949,2019,
7,51.38,3.38,1996,2019,
0,51.77,3.61,1996,2019,
0,51.5,3.25,2001,2019,
0,51.65,3.7,1996,2019,
19,51.93,3.66,1949,2019,
18,52,3.28,1996,2019,
1,51.53,3.88,1994,2019,
14,51.98,4.1,1949,2019,
19.2,51.45,4.34,1949,2019,
4,51.9,4.31,1994,2019,
-4.6,51.96,4.43,1957,2019,
2,51.97,4.93,1996,2019,
14.9,51.57,4.93,1949,2019,
1,51.85,5.13,1994,2019,
22.6,51.45,5.37,1949,2019,
21.9,51.66,5.7,1951,2019,
30,51.2,5.76,2001,2019,
114.3,50.91,5.77,1949,2019,
19,51.5,6.2,1994,2019,
6.1,51.09,2.65,1949,2019,
4,51.2,2.86,1936,2019,
37.5,50.93,3.66,1973,2019,
58.8,50.58,3.83,1973,2019,
78,50.5,3.98,2010,2019,
11,51.08,4.51,2012,2019,
187.1,50.46,4.45,1973,2019,
11.9,51.19,4.46,1940,2019,
56.1,50.9,4.48,1930,2019,
285,50.24,4.64,1949,2019,
112.8,50.76,4.76,1973,2019,
54,51,5.06,1973,2019,
588.3,50.04,5.4,1949,2019,
557,50.03,5.4,2009,2019,
200.9,50.64,5.44,1949,2019,
61,51.17,5.47,1973,2019,
482,50.48,5.91,1950,2019,
37,50.93,3.65,2004,2019,
570,50.47,6.18,1984,2019,
376.1,49.63,6.21,1949,2019,
487,47,6.95,1982,2019,
