mid,Alaska,Western Canada and US,Arctic Canada North,Arctic Canada South,Greenland Peripher,Iceland,Svalbard,Scandinavia ,Russian Arctic,North Asia,Central Europe  ,Caucasus and Middle East,Central Asia,South Asia West    ,South Asia East,Low Latitudes,Southern Andes,New Zealand,Antarctic and Subantarctic
6075,0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,968.1,464.1,222.4,7.4,8.3,        ,        
6125,0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,824.5,387.1,201.4,6.6,7.6,        ,        
6175,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,683,310.4,177,4.7,6.9,        ,        
6225,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,525.1,252.4,151.4,3.1,6.4,        ,        
6275,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,391.7,207.1,135.4,1.9,5.9,        ,        
6325,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,293.9,166.4,120.8,1.3,5.3,        ,        
6375,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,212.9,134.4,106,0.6,4.7,        ,        
6425,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,156.9,108.9,90.6,0.5,4.1,        ,        
6475,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,108.9,89.4,77.9,0.5,2.7,        ,        
6525,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,74,77,65.8,0.3,1.9,        ,        
6575,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,50.7,63.2,56,0.2,1.2,        ,        
6625,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,37,53.4,47.3,0.2,0.8,        ,        
6675,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,26.3,48.6,40.8,0,0.5,        ,        
6725,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,19.9,43.8,35.9,        ,0.2,        ,        
6775,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,16.1,36.7,31,        ,0.2,        ,        
6825,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,13.1,33.2,27.2,        ,0.1,        ,        
6875,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,10.4,29.9,23.5,        ,0,        ,        
6925,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,7.2,23.9,19.9,        ,0,        ,        
6975,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,5.7,21.2,17.3,        ,        ,        ,        
7025,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,4.7,19.6,15.9,        ,        ,        ,        
7075,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,3.9,16.1,15,        ,        ,        ,        
7125,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,2.6,14.9,14,        ,        ,        ,        
7175,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.9,14.4,12.8,        ,        ,        ,        
7225,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.4,10.2,11.5,        ,        ,        ,        
7275,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.2,9.4,10.2,        ,        ,        ,        
7325,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.1,5.8,7.8,        ,        ,        ,        
7375,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,1.1,4.8,6.6,        ,        ,        ,        
7425,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.6,4,6,        ,        ,        ,        
7475,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.6,3.7,5,        ,        ,        ,        
7525,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.2,3.2,4.2,        ,        ,        ,        
7575,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,3.4,3.4,        ,        ,        ,        
7625,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,2.8,3,        ,        ,        ,        
7675,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,2,2.8,        ,        ,        ,        
7725,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.8,2.4,        ,        ,        ,        
7775,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.4,2.4,        ,        ,        ,        
7825,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.2,1.7,        ,        ,        ,        
7875,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.2,1.2,        ,        ,        ,        
7925,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,1,        ,        ,        ,        
7975,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0,0.8,        ,        ,        ,        
8025,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,0.7,        ,        ,        ,        
8075,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.7,        ,        ,        ,        
8125,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.6,        ,        ,        ,        
8175,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.5,        ,        ,        ,        
8225,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.2,        ,        ,        ,        
8275,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.2,        ,        ,        ,        
8325,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8375,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8425,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
8475,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0.1,        ,        ,        ,        
