,elev,lat,lon,yrst,yrstp
504,11.0,63.433,21.06,1973.0,2019.0
505,5.8,63.051,21.76,1917.0,2019.0
506,46.0,63.127,23.05,1973.0,2019.0
507,40.0,63.117,23.05,2013.0,2015.0
508,132.0,63.083,25.86,1973.0,2019.0
509,98.5,63.007,27.79,1906.0,2019.0
510,77.0,61.2,28.46,1973.0,2019.0
511,19.2,63.75,22.51,2004.0,2019.0
512,159.7,62.533,24.21,1973.0,2019.0
513,92.0,62.7,22.83,1992.0,1992.0
514,91.7,62.692,22.83,1999.0,2019.0
515,10.1,61.483,21.78,2012.0,2019.0
516,227.0,62.517,24.8,2013.0,2019.0
517,81.0,62.6,29.71,2013.0,2019.0
518,121.3,62.663,29.6,1952.0,2019.0
519,5.0,62.333,21.18,2013.0,2019.0
520,3.0,60.167,24.95,2012.0,2015.0
521,139.9,62.399,25.67,1917.0,2019.0
522,39.0,61.25,22.35,2012.0,2019.0
523,156.5,62.767,30.98,2003.0,2019.0
524,124.8,61.833,22.46,1952.0,2019.0
525,98.0,61.517,23.75,1973.0,2019.0
526,118.9,61.414,23.6,1906.0,2019.0
527,146.0,61.856,24.78,1973.0,2019.0
528,144.0,61.867,24.81,2012.0,2019.0
529,100.3,61.687,27.2,1973.0,2019.0
530,94.8,61.943,28.94,1984.0,2019.0
531,143.0,60.65,23.8,1973.0,2019.0
532,4.5,60.117,21.7,1901.0,2019.0
533,13.4,61.462,21.8,1952.0,2019.0
534,88.3,62.9,27.63,2012.0,2019.0
535,99.0,60.883,26.93,2013.0,2019.0
536,9.0,63.1,21.63,2012.0,2019.0
537,106.4,61.045,28.14,1973.0,2019.0
538,104.4,61.05,28.21,2012.0,2019.0
539,3.9,60.717,21.03,2004.0,2019.0
540,78.7,60.967,25.63,1973.0,2019.0
541,103.3,60.896,26.93,1973.0,2019.0
542,5.5,60.283,27.18,2004.0,2019.0
543,27.9,60.383,27.05,2012.0,2013.0
544,5.2,60.122,19.89,1917.0,2019.0
545,49.1,60.514,22.26,1901.0,2019.0
546,54.6,60.317,24.96,1952.0,2019.0
547,17.4,60.255,25.04,1917.0,2017.0
548,13.1,60.383,26.96,1952.0,2019.0
549,4.0,60.183,24.95,2008.0,2019.0
550,16.0,59.5,20.35,2004.0,2019.0
551,10.0,59.967,19.95,1973.0,2019.0
552,6.8,59.783,21.36,1901.0,2019.0
553,6.5,59.767,22.95,1906.0,2019.0
554,113.0,60.517,24.65,2012.0,2019.0
555,12.0,59.933,24.01,1973.0,2019.0
556,7.5,60.183,24.78,2015.0,2019.0
557,23.3,59.983,25.6,1982.0,2019.0
558,20.2,59.95,24.93,2012.0,2019.0
