elev,lat,lon,yrst,yrstp,notes,reference
14.3,59.35,17.94,1931,2019,ISD,
22,59.35,17.96,1980,2002,ISD,
493,60.38,15.13,2001,2019,ISD,
54,59.18,17.91,2001,2019,ISD,
5,60.53,18.38,2001,2003,ISD,
40,60.28,18.91,1989,1989,ISD,
14,60.17,18.75,1977,2004,ISD,
42.7,58.79,16.91,1991,2019,ISD,
22,59.35,18.73,1997,2019,ISD,
36,64.48,21.58,2001,2006,ISD,
24,59.55,20.01,1978,2005,ISD,
12,59.45,19.5,1977,2019,ISD,
12,59.45,19.5,2010,2019,ISD,
14,58.1,11.35,1973,2005,ISD,
41.8,58.32,12.34,1991,2019,ISD,
61,58.47,13.17,2007,2012,ISD,
18,57.78,11.87,1935,2017,ISD,
379.5,65.59,19.28,1977,2019,ISD,
12,57.27,12.11,2002,2004,ISD,
55.2,58.43,12.71,1977,2019,ISD,
154.2,57.66,12.28,1977,2019,ISD,
0,57.12,12.26,1984,1984,ISD,
98.8,58.46,13.97,1991,2019,ISD,
225.9,57.76,14.06,1931,2019,ISD,
169.5,57.29,14.13,1977,2019,ISD,
93.9,58.4,15.52,1977,2019,ISD,
52.4,58.41,15.68,1995,2019,ISD,
47,56.28,12.83,1996,2019,ISD,
111.6,57.53,15.82,1979,2019,ISD,
9.8,58.59,16.25,1977,2019,ISD,
42,58.78,16.91,1977,1980,ISD,
4,57.37,17.1,1996,2019,ISD,
10,58.97,18.45,1987,2016,ISD,
76,58.95,18.26,2002,2003,ISD,
32,58.75,17.86,1935,2006,ISD,
3,58.6,17.46,1977,2008,ISD,
12,58.4,19.2,1935,2006,ISD,
8,57.9,19.16,1977,2002,ISD,
17,58.4,19.2,2001,2019,ISD,
50,57.66,18.34,1931,2019,ISD,
47,57.65,18.35,2002,2019,ISD,
4,57.37,17.1,1935,2002,ISD,
40,57.3,17.96,2001,2004,ISD,
30.8,56.69,12.82,1977,2019,ISD,
10,56.45,12.55,1996,2019,ISD,
72,56.3,12.45,1977,2005,ISD,
18,56.28,12.08,1977,2008,ISD,
11,55.87,12.86,1985,2005,ISD,
5,55.38,12.81,2009,2019,ISD,
2,55.52,12.91,2002,2002,ISD,
8,55.38,13.06,2002,2004,ISD,
52,56.08,13.23,1977,2003,ISD,
86,55.72,13.21,2016,2019,ISD,
71.9,55.53,13.37,1977,2019,ISD,
5,55.33,13.35,1977,2004,ISD,
34,55.43,13.83,1935,1983,ISD,
185.9,56.93,14.72,1979,2019,ISD,
3,56.2,16.4,1996,2019,ISD,
10,56.67,16.46,2001,2016,ISD,
55,56.02,14.85,1977,2005,ISD,
23.2,55.92,14.08,1979,2019,ISD,
112,55.67,14.26,1973,2003,ISD,
232,56.83,15.46,2001,2019,ISD,
58.2,56.27,15.26,1977,2019,ISD,
5.2,56.69,16.28,1935,2019,ISD,
3,56.2,16.4,2001,2005,ISD,
39,56.92,18.15,2009,2019,ISD,
52,58.48,15.51,2004,2007,ISD,
30,56.07,16.68,1977,2007,ISD,
1009,69.05,20.85,2008,2019,ISD,
156,69.13,27.26,2014,2019,ISD,
31.5,60.2,24.73,2008,2015,ISD,
87,61.12,24.31,2008,2019,ISD,
487.5,67.02,27.21,2008,2019,ISD,
37,60.25,24.05,2008,2019,ISD,
161,62.18,22.8,2013,2019,ISD,
120,62.92,26.41,2008,2019,ISD,
13,63.1,21.61,2008,2011,ISD,
134,61.22,25.13,2013,2019,ISD,
114,64.5,26.44,2008,2019,ISD,
320,64.83,28.23,2008,2009,ISD,
154,65.93,26.51,2008,2008,ISD,
272,68.17,25.76,2008,2019,ISD,
98,61.52,28.18,2013,2019,ISD,
240,67.82,27.75,2008,2019,ISD,
196.3,67.7,24.84,2005,2019,ISD,
6.3,63.95,22.85,2008,2019,ISD,
302,68.42,27.41,2008,2019,ISD,
200,67.78,24.85,2008,2016,ISD,
11,60.12,20.3,2015,2019,ISD,
153,63.45,24.45,2008,2019,ISD,
374,68.6,23.58,2008,2019,ISD,
76,61.27,25.51,2008,2019,ISD,
88,61.3,28.18,2008,2011,ISD,
205,61.88,25.33,2009,2011,ISD,
157,61.83,28.85,2009,2011,ISD,
127,61.53,28.2,2009,2013,ISD,
87,62.8,27.9,2009,2019,ISD,
46.4,61.03,28.56,2009,2019,ISD,
75,61.45,29.46,2009,2019,ISD,
139.5,62.33,23.55,2009,2019,ISD,
111.5,61.9,27.88,2009,2019,ISD,
84.5,63.82,24.16,2009,2019,ISD,
153.3,63.73,25.7,2009,2019,ISD,
162.5,64.12,28.33,2009,2019,ISD,
11,60.18,19.98,2008,2019,ISD,
8,59.87,22.2,2009,2019,ISD,
92,61.5,23.76,2013,2019,ISD,
214.7,67.17,29.18,2009,2019,ISD,
27.5,59.82,22.91,2009,2019,ISD,
5.5,60.38,22.1,2009,2019,ISD,
87.2,62.17,27.86,2005,2016,ISD,
3,59.85,23.25,2009,2019,ISD,
4.6,61.63,21.38,2008,2019,ISD,
21.7,62.2,21.16,2008,2019,ISD,
122,61.83,22.46,2008,2019,ISD,
85,61,24.5,2008,2019,ISD,
76,64.05,24.71,2003,2019,ISD,
2,60.37,23.11,2008,2019,ISD,
22.8,59.82,23.58,2008,2019,ISD,
44.2,60.42,24.4,2008,2019,ISD,
23.5,60.4,25.6,2008,2019,ISD,
306.5,66.17,29.13,2014,2019,ISD,
29,61.15,21.3,2008,2019,ISD,
39,61.27,22.25,2008,2010,ISD,
86,61.47,23.75,2008,2019,ISD,
270,68,24.21,2014,2019,ISD,
83.2,61.7,25.5,2008,2019,ISD,
236.5,63.15,31.05,2012,2019,ISD,
125,61.05,25.05,2008,2019,ISD,
92,61.2,26.05,2008,2019,ISD,
93,62.42,22.18,2008,2019,ISD,
153,61.85,24.28,2008,2019,ISD,
146,61.88,26.1,2008,2019,ISD,
80,62.07,28.56,2008,2019,ISD,
9.1,60.45,22.18,2008,2019,ISD,
117,60.47,23.65,2004,2019,ISD,
79.5,61.8,29.31,2008,2019,ISD,
2.8,62.93,21.18,2008,2019,ISD,
129,61.18,25.03,2008,2009,ISD,
171.4,63.08,24.26,2008,2019,ISD,
91.3,63.15,27.31,2008,2019,ISD,
165.5,63.38,28.66,2008,2019,ISD,
22.5,60.25,20.75,2003,2019,ISD,
115,63.23,29.23,2008,2019,ISD,
79.5,62.55,29.66,2008,2019,ISD,
2,59.92,24.35,2008,2019,ISD,
6.4,60.1,24.98,2008,2019,ISD,
98,63.32,30.05,2008,2019,ISD,
112,64.15,25.41,2008,2019,ISD,
115,63.67,28.83,2008,2019,ISD,
198.4,64.3,30.16,2008,2019,ISD,
23.8,64.62,23.9,2008,2019,ISD,
482.7,69.05,20.78,1979,2019,ISD,
49.5,64.68,25.08,2008,2019,ISD,
197,65.58,28.21,2008,2019,ISD,
106.3,69.75,27,1973,2019,ISD,
146.6,68.61,27.4,1952,2019,ISD,
306.3,68.36,23.42,1998,2019,ISD,
132,69.58,28.85,2008,2011,ISD,
165,66.37,29.31,2008,2019,ISD,
93,66.53,24.65,2008,2019,ISD,
107.4,66.58,26.01,2008,2019,ISD,
208,66.72,27.16,2008,2019,ISD,
180,67.28,28.18,2008,2019,ISD,
248.8,68.08,27.18,2008,2019,ISD,
438,68.43,27.45,2008,2019,ISD,
254.9,68.48,28.3,2008,2019,ISD,
360,67.75,29.61,2008,2019,ISD,
762,68.07,24.03,2008,2019,ISD,
565.5,67.97,24.11,2008,2019,ISD,
252.6,67.97,23.68,1973,2019,ISD,
349.5,67.98,24.25,2008,2019,ISD,
22,70.08,27.9,2008,2019,ISD,
123.5,69.07,27.5,2008,2019,ISD,
5.2,60.38,22.55,2008,2019,ISD,
87.5,60.6,24.8,2008,2019,ISD,
33,60.7,26.81,2008,2019,ISD,
5,60.53,27.66,2008,2019,ISD,
90,62.23,30.35,2008,2019,ISD,
31.7,62.93,22.48,2008,2019,ISD,
207.6,63.83,27.21,2008,2019,ISD,
123,68.85,28.3,2008,2019,ISD,
183.5,67.4,26.61,1917,2019,ISD,
85.9,66.77,23.96,1973,2019,ISD,
196.6,66.57,25.83,1973,2019,ISD,
82.3,66.5,25.71,2008,2019,ISD,
221.7,66.83,28.66,1996,2019,ISD,
83,62.32,27.9,2013,2019,ISD,
12,64.93,25.36,2012,2019,ISD,
8.1,63.85,23.11,2013,2018,ISD,
