,LAPSE,LW_IN_AVG,PRESS,REF_WS,REF_Z,RH,RH_err,SW_IN_AVG,SW_OUT_AVG,SW_err,T_109,T_HMP,T_err,WS_AVG
2019-06-07 17:00:00,-0.006501,132.504567,339.872203,13.750000,7945.000000,32.217732,115.718553,0.000000,0.000000,0.000000,-23.243405,-23.243405,3.656138,15.936700
2019-06-07 18:00:00,-0.006508,130.245316,339.474526,14.820000,7945.000000,30.106479,118.839617,0.000000,0.000000,0.000000,-23.599740,-23.599740,3.709752,17.093938
2019-06-07 19:00:00,-0.006516,129.688838,338.983352,15.290000,7945.000000,29.831334,120.143991,0.000000,0.000000,0.000000,-23.776980,-23.776980,3.769362,17.635882
2019-06-07 20:00:00,-0.006522,128.772760,338.891753,15.170000,7945.000000,28.838873,119.118203,0.000000,0.000000,0.000000,-23.872410,-23.872410,3.889025,17.578616
2019-06-07 21:00:00,-0.006528,130.314706,338.653562,16.430000,7945.000000,31.210978,111.802629,0.000000,0.000000,0.000000,-23.967840,-23.967840,4.060685,18.809451
2019-06-07 22:00:00,-0.006530,128.610257,338.348783,16.980000,7945.000000,29.920093,112.529930,0.000000,0.000000,0.000000,-24.349650,-24.349650,4.222573,19.660922
2019-06-07 23:00:00,-0.006538,129.627825,338.222416,17.810000,7945.000000,31.387261,105.013294,0.000000,0.000000,0.000000,-24.376890,-24.376890,4.400822,20.637808
2019-06-08 00:00:00,-0.006549,124.197751,338.216969,17.980000,7945.000000,23.926506,115.069146,161.892016,129.513613,28.814069,-24.366845,-24.366845,4.664009,20.851401
2019-06-08 01:00:00,-0.006541,124.796604,338.512875,18.040000,7945.000000,24.672101,110.215834,403.830485,323.064388,81.642978,-24.339605,-24.339605,4.942365,20.648608
2019-06-08 02:00:00,-0.006608,129.031920,338.900061,17.710000,7945.000000,29.980808,99.763463,631.135936,504.908748,114.173528,-24.160240,-24.160240,7.678534,20.274417
